epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,49.2748,1.28254,1.42513,1.12959,0.74324,0.49003,0.52212,0.28565,1.59108,1.57854,1.18459,0.000404375,0.000404375,0.000404375
43,50.3779,1.33606,1.55316,1.19253,0.72169,0.51567,0.53405,0.29827,1.54992,1.51197,1.17581,0.00038375,0.00038375,0.00038375
44,51.527,1.30163,1.4152,1.144,0.73433,0.55271,0.55224,0.30886,1.52225,1.48649,1.17356,0.000363125,0.000363125,0.000363125
45,52.5244,1.19249,1.36065,1.12228,0.76284,0.49003,0.55309,0.31003,1.55682,1.50789,1.19369,0.0003425,0.0003425,0.0003425
46,53.5181,1.20382,1.4148,1.10905,0.76289,0.546,0.56327,0.32734,1.54271,1.50249,1.19968,0.000321875,0.000321875,0.000321875
47,54.5203,1.23555,1.34897,1.13769,0.79237,0.5641,0.57441,0.34011,1.53867,1.49379,1.2073,0.00030125,0.00030125,0.00030125
48,55.5789,1.23241,1.45157,1.12172,0.76312,0.58974,0.59404,0.36522,1.52032,1.45336,1.2026,0.000280625,0.000280625,0.000280625
49,56.7723,1.22878,1.3237,1.11892,0.77945,0.56461,0.57786,0.3647,1.47778,1.41967,1.18576,0.00026,0.00026,0.00026
50,58.2707,1.19773,1.29481,1.08649,0.75743,0.563,0.57426,0.367,1.47559,1.47852,1.18698,0.000239375,0.000239375,0.000239375
51,61.1061,1.2629,1.6557,1.09848,0.7613,0.57033,0.57055,0.35076,1.48542,1.52782,1.19182,0.00021875,0.00021875,0.00021875
52,62.3728,1.25919,1.62777,1.14313,0.79143,0.54904,0.60299,0.35536,1.49302,1.55112,1.1984,0.000198125,0.000198125,0.000198125
53,63.2904,1.21431,1.4971,1.11112,0.7544,0.55271,0.54894,0.3438,1.50386,1.55434,1.20733,0.0001775,0.0001775,0.0001775
54,64.2476,1.24224,1.54464,1.12162,0.7634,0.55271,0.5572,0.34436,1.52273,1.56237,1.21377,0.000156875,0.000156875,0.000156875
55,65.1947,1.16397,1.4741,1.15214,0.7572,0.55271,0.57406,0.35126,1.51545,1.55077,1.20692,0.00013625,0.00013625,0.00013625
56,66.1214,1.22623,1.58587,1.14192,0.88171,0.46634,0.59027,0.36051,1.50671,1.52397,1.19259,0.000115625,0.000115625,0.000115625
57,67.0836,1.14937,1.43619,1.10962,0.90462,0.47057,0.60301,0.36613,1.51328,1.50294,1.18844,9.5e-05,9.5e-05,9.5e-05
58,68.0276,1.1765,1.41452,1.07712,0.92852,0.49023,0.64712,0.37385,1.51711,1.47698,1.19533,7.4375e-05,7.4375e-05,7.4375e-05
59,69.0104,1.16352,1.4323,1.08748,0.90453,0.50408,0.67216,0.39184,1.50847,1.46299,1.19361,5.375e-05,5.375e-05,5.375e-05
60,70.2722,1.16072,1.47772,1.13472,0.90839,0.50427,0.68887,0.39766,1.50152,1.44167,1.19004,3.3125e-05,3.3125e-05,3.3125e-05
